"","name","iata_code","icao_code"
"587","Flyadeal","F3","FAD"
"588","Flybondi","FO","FBZ"
"589","FlyBosnia","6W","FBS"
"590","Fort Aero",NA,"FRX"
"591","GetJet Airlines","GW*","GJT"
"592","Grant Aviation","GV*","GUN"
"593","Himalaya Airlines","H9","HIM"
"594","Hong Kong Air Cargo","RH","HKC"
"595","Air Horizont","HT*","HAT"
"596","IFly Airlines","F7","RSY"
"597","Air Incheon","KJ","AIH"
"598","Iraqi Airways","IA","IAW"
"599","Island Air Express","I4","EXP"
"600","Air Italy","IG","ISS"
"601","Air Japan","NQ","AJX"
"602","Jet Aviation Business Jets","PP","PJS"
"603","Jet Edge",NA,"EDG"
"604","Jet Story",NA,"JDI"
"605","Jetblue Airways","B6*","JBU"
"606","Jetways Airlines","WU","JWX"
"607","Jubba Airways (Kenya)","3J","JBW"
"608","Air Kiribati","IK","AKL"
"609","Komiaviatrans","KO","KMA"
"610","LATAM Cargo Brasil","M3","LTG"
"611","LATAM Cargo Chile","UC","LCO"
"612","LATAM Airlines Paraguay","PZ","LAP"
"613","Libyan Airlines","LN","LAA"
"614","Luxaviation Belgium",NA,"AAB"
"615","MasAir","M7","MAA"
"616","Meraj Airlines","JI","MRJ"
"617","Motor-Sich","M9","MSI"
"618","My Indo Airlines","2Y*","MYU"
"619","Netjets Aviation","1I","EJA"
"620","Niger Airlines","6N","NIN"
"621","Nine Air","AQ","JYH"
"622","Nippon Cargo Airlines","KZ","NCA"
"623","Nordica","ND","NDA"
"624","Nordwind Airlines","N4","NWS"
"625","North Flying",NA,"NFA"
"626","Norwegian Air Argentina","DN","NAA"
"627","Norwegian Long Haul","DU*","NLH"
"628","Omni-blu Aviation","O7","OMB"
"629","One Airways","OX","OEW"
"630","One Caribbean","C0","VCY"
"631","People’s","PE","PEV"
"632","Pobeda","DP","PBD"
"633","Porter Airlines","PD","POE"
"634","Privaira",NA,"PVO"
"635","Richmor Aviation",NA,"RJC"
"636","Royal Air Force (R.A.F.)","RR","RFR"
"637","Safair","FA","SFR"
"638","San Juan Airlines","2G*","MRR"
"639","Sepehran Airlines","IS","SHI"
"640","Servicios Aereos Nacionales SANSA","RZ*","LRS"
"641","SF Airlines","O3","CSS"
"642","Shoreline Aviation",NA,"CST"
"643","Shree Airlines","N9","SHA"
"644","Silver Air",NA,"SIS"
"645","Sudan Airways","SD","SUD"
"646","Sun Air Of Scandinavia","EZ*","SUS"
"647","Sunkar Air","S3*","KAM"
"648","Sunwest Aviation",NA,"CNK"
"649","Susi Air",NA,"SQS"
"650","Taban Airlines","HH","TBN"
"651","Taquan Air","K3*","TQN"
"652","Aero-Tech Services",NA,"TEK"
"653","Transcarga International Airways","T7*","TIW"
"654","Transnusa Aviation Mandiri","8B","TNU"
"655","Tropic Ocean Airways","TI",NA
"656","Tsaradia","TZ","TDS"
"657","TUI Airways","BY","TOM"
"658","TUI Fly Netherlands","OR","TFL"
"659","TUIfly Nordic","6B*","BLX"
"660","Tyrolean Jet Service",NA,"TJS"
"661","US-Bangla Airlines","BS","UBG"
"662","USA Jet Airlines","UJ*","JUS"
"663","Via Airlines","VC","SRY"
"664","Virgin America","VX","VRD"
"665","Virgin Australia Regional Airlines","XR","OZW"
"666","VistaJet",NA,"VJT"
"667","Vologda Air",NA,"VGV"
"668","West Coast Charters","8O","WCC"
"669","Westair Aviation","WV","WAA"
"670","Western Air Express",NA,"WAE"
"671","Western Global Airlines","KD*","WGN"
"672","Westjet Encore","WR","WEN"
"673","Xojet",NA,"XOJ"
"674","Yeti Airlines","YT","NYT"
"675","Map Linhas Aereas","7M","PAM"
"676","DHL Air","D0","DHK"
"677","AirSial","PF","SIF"
"678","21 Air","2I*","CSB"
"679","Afrijet","J7","ABS"
"680","AirAsia Japan","DJ","WAJ"
"681","Aircalin","SB","ACI"
"682","AirSprint",NA,"ASP"
"683","AirTanker","9L","TOW"
"684","Alphaland Aviation","C9","BIC"
"685","Amadeus IT Group SA.","1A","AGT"
"686","Amapola Flyg","HP","APF"
"687","Ameriflight","A8","AMF"
"688","ANA Wings","EH","AKX"
"689","Arab Wings Company",NA,"AWS"
"690","Arcus Air",NA,"AZE"
"691","ARINC","XA","XAA"
"692","ASKY","KP","SKK"
