"","name","iata_code","icao_code"
"3438","British International Helicopter Services",NA,"BRT"
"3439","Air BTR",NA,"TBR"
"3440","BudgetAir","FU",NA
"3441","Buff Air Services",NA,"BUF"
"3442","Bulgarian Aeronautical Centre",NA,"BVC"
"3443","Bulgarian Air Force",NA,"AFB"
"3444","Business Aviation Center",NA,"BCV"
"3445","Business Air",NA,"BEM"
"3446","Business Aero",NA,"KBS"
"3447","Butte Aviation",NA,"PPS"
"3448","Bygone Aviation",NA,"BYG"
"3449","Cabo Verde Express",NA,"CVE"
"3450","AIR CALEDONIE INTERNATIONAL",NA,"ACI"
"3451","AIR CALEDONIE",NA,"TPC"
"3452","Caliber Jet Charter",NA,"CJZ"
"3453","Canadian Helicopters",NA,"WSR"
"3454","Canarias Aeronautica",NA,"CAU"
"3455","AIR CARAIBES",NA,"FWI"
"3456","Castillo Mourra",NA,"OMT"
"3457","CEIBA Intercontinental S.A.","C2",NA
"3458","Central Helicopter Service",NA,"CEH"
"3459","Central Mongolia Airways",NA,"CEM"
"3460","CET Aviation","ZJA","CVN"
"3461","Chairman Airmotive II, LLC",NA,"CHR"
"3462","Charlotte, NC Air National Guard",NA,"CGD"
"3463","Aero Charter Krifka",NA,"KFK"
"3464","Chodang University",NA,"CDQ"
"3465","Christian Konig - Century Airbirds",NA,"AID"
"3466","Air Cargo. Inc,",NA,"NTS"
"3467","Civil Aviation Authority Of The Slovak Republic",NA,"CIA"
"3468","Claessens International",NA,"FMC"
"3469","Classica Air",NA,"NBL"
"3470","Cloepatra Aviation",NA,"CLN"
"3471","Aero Clube De Algarve",NA,"CGV"
"3472","Comed Group",NA,"CDE"
"3473","Common Sky A & N Luftfahrt",NA,"AUN"
"3474","Condor Berlin","DF*",NA
"3475","Connect Air",NA,"CCT"
"3476","Copterline",NA,"CPE"
"3477","Corporate Jet Management",NA,"CJM"
"3478","CPI Aviation",NA,"TSJ"
"3479","Cranfield Flight Training",NA,"MGB"
"3480","Cranfield Helicopters",NA,"CHL"
"3481","Cretan Wings",NA,"CWS"
"3482","Cross Aviation",NA,"CRX"
"3483","Crystal Thai Airlines",NA,"KPS"
"3484","Daallo Airlines","D3",NA
"3485","Daily Air","DA",NA
"3486","Darwin Travel Technology","N1",NA
"3487","Dasab Airlines",NA,"DSQ"
"3488","DEA Aviation",NA,"WKT"
"3489","Air Deccan",NA,"DKN"
"3490","Deer Jet (Beijing)",NA,"BDJ"
"3491","Deutsche Rettungsflugwacht","1I","AMB"
"3492","Devinaire",NA,"GSY"
"3493","DI Air",NA,"PBS"
"3494","DIRECCION GENERAL DE TRAFICO",NA,"TRI"
"3495","Direktflyg","HS",NA
"3496","Dolphin Air",NA,"FDN"
"3497","Dove Air",NA,"DOV"
"3498","Dreamshore Aero",NA,"DRS"
"3499","Dynamic Air",NA,"DYM"
"3500","E.I.S. Aircraft",NA,"EIS"
"3501","Eagle Atlantic Airlines",NA,"EAB"
"3502","EAS Airlines",NA,"EXW"
"3503","East Afrian Airlines",NA,"UGX"
"3504","East Coast Airways",NA,"ECT"
"3505","EC Charter",NA,"EXC"
"3506","Air Eclipse International",NA,"AOC"
"3507","Egyptair Cargo",NA,"MSX"
"3508","Egyptian Air Force",NA,"EGY"
"3509","Aero Ejecutivos",NA,"VEJ"
"3510","Elicar",NA,"PDV"
"3511","Elilombarda",NA,"EOA"
"3512","ELJ Aviation",NA,"GTF"
"3513","Emper General Aviation",NA,"STJ"
"3514","Empire Aviation Services",NA,"MPR"
"3515","EMPRESA GUATEMALTECA DE AVIACION (AVIATECA)",NA,"GUG"
"3516","Euro Continental Air",NA,"ECN"
"3517","Eurojet Aviation",NA,"GOJ"
"3518","Eurojet Italia",NA,"ERJ"
"3519","Europ Star Aircraft",NA,"ESQ"
"3520","European Business Jets",NA,"EBJ"
"3521","Everett Aviation",NA,"EVK"
"3522","Everett Aviation",NA,"EVQ"
"3523","Excutive Aviation Services",NA,"VYR"
"3524","Executive Aviation Serviecs",NA,"JTR"
"3525","Ezjet",NA,"EZJ"
"3526","F A Naval Del Peru",NA,"INP"
"3527","Fairoaks Flight Centre",NA,"FFC"
"3528","Falcon Jet Centre",NA,"FJC"
"3529","Fanair",NA,"FNR"
"3530","Finesse Executive",NA,"FNS"
"3531","Finnish Border Guard",NA,"FNG"
"3532","First City Air",NA,"MBL"
"3533","First Air Transport",NA,"JRF"
"3534","Fleet Air BG",NA,"FBG"
"3535","Flex Linhas Aereas",NA,"FFX"
"3536","Flight Support",NA,"FST"
"3537","Flight Track Training",NA,"FTT"
"3538","Florida Air",NA,"OJY"
"3539","Fltplan",NA,"DCM"
"3540","Flugwerkzeuge Aviation Software",NA,"FWZ"
"3541","Fly Advanced",NA,"VNX"
"3542","Fly Aman",NA,"FAJ"
"3543","Fly CamInter","EF*",NA
"3544","Fly Corporate","FC",NA
"3545","Fly Me",NA,"ANW"
"3546","Fly RAK",NA,"FRB"
"3547","Fly Union",NA,"FCH"
"3548","Flycana","DW*","DWI"
"3549","FlyFast",NA,"FMX"
"3550","Flyfofo Airways",NA,"FOF"
"3551","Flyjet Air Charter & Management",NA,"FYJ"
"3552","FlyLink Express",NA,"FLK"
"3553","FlyPersia",NA,"FPI"
"3554","FlyViking",NA,"FVK"
"3555","FMG Verkehrsfliegerschule Flughafen",NA,"FMG"
"3556","Forward Air","1F",NA
"3557","Foster Yeoman",NA,"JFY"
"3558","Four Star Aviation",NA,"FSC"
"3559","Freedom Air Services",NA,"FFF"
"3560","Freesky Aviation",NA,"FSJ"
"3561","Fuerza Aerea Del Peru",NA,"FPR"
"3562","Galistair",NA,"GTR"
"3563","Gatari Air Service",NA,"GHS"
"3564","GENSA - General Services Aviation",NA,"GEN"
"3565","Air Georgia",NA,"AGF"
"3566","German Sky Airlines",NA,"GHY"
"3567","Germania","ST",NA
"3568","Gestavi",NA,"GEV"
"3569","Ghana Air Force",NA,"GHF"
"3570","Global Airlift",NA,"GAW"
"3571","Glock Aviation",NA,"GCK"
"3572","Go! Aviation",NA,"GGO"
"3573","GO2SKY, S.R.O.",NA,"RLX"
"3574","Golden Wings Charter",NA,"GWZ"
"3575","Government Of Ontario",NA,"ONT"
"3576","Grace Flight Of America",NA,"GRC"
"3577","Grupo LASA",NA,"NQN"
"3578","Hainan Aviation Academy",NA,"HNX"
"3579","Hak Air",NA,"HKL"
"3580","Hala Fly Airlines",NA,"DAZ"
"3581","Halsteds Aviation Corporation",NA,"JRH"
"3582","Hamlin Jet",NA,"HJL"
"3583","Harty Aviation",NA,"HAO"
"3584","Hawkair Aviation","BH",NA
"3585","HD Air",NA,"RPX"
"3586","Heavylift Cargo","HN*",NA
"3587","Helenia Helicopter Service",NA,"HHP"
"3588","Heli-Charter",NA,"HCK"
"3589","Heli France",NA,"HFR"
"3590","Heli Hungary",NA,"HYH"
"3591","Heliavia-Transporte Aereo",NA,"HEA"
"3592","Helicap",NA,"HLC"
"3593","Helicharter Wales",NA,"HCS"
"3594","Helico ApS",NA,"HKO"
"3595","Helicopter.pl",NA,"SCP"
"3596","Helicopter Services Malta",NA,"HSM"
"3597","Helicopter World",NA,"HWH"
"3598","HELIMAR - Helicopteros Del Mare Nostrum",NA,"HEF"
"3599","Heliportugal",NA,"HPL"
"3600","Helistar",NA,"HTS"
"3601","Heliworks",NA,"HLW"
"3602","Hendell Aviation",NA,"HDL"
"3603","Hermes Aviation",NA,"HME"
"3604","Hesnes Air",NA,"HSG"
"3605","Hevi Lift (PNG)","IU",NA
"3606","Hex'Air","UD",NA
"3607","Hi-Jet Helicopter Services",NA,"HHS"
"3608","Horizon Airlines","BN*","HZA"
"3609","Hummingbird Aviation",NA,"WHR"
"3610","Humo Air",NA,"USW"
"3611","IACA",NA,"ITC"
"3612","IAS Medical",NA,"MDI"
"3613","Ibertour Servicios Aereos",NA,"IBR"
"3614","Iconair",NA,"ICN"
"3615","IFA - Instituto De Formacao Aeronautica",NA,"IFJ"
"3616","IKI International Airlines",NA,"IKK"
"3617","IL-Avia",NA,"ILV"
"3618","Imagine Air Jet Services",NA,"IMG"
"3619","IMD Airways",NA,"IMD"
"3620","INFINI Travel Information","1F",NA
"3621","Infinit Air",NA,"FFI"
"3622","Infinity Airlines",NA,"IAB"
"3623","Initium Aviation",NA,"INI"
"3624","InnoAviation","I3",NA
"3625","INTAIRLINE",NA,"ITI"
"3626","Interaviation Charter",NA,"IAC"
"3627","Interjet Helicopters",NA,"IHE"
"3628","ISD Avia",NA,"ISD"
"3629","Island Aviation Services Ltd.","Q2",NA
"3630","Island Tyme",NA,"ITM"
"3631","Israeli Air Force",NA,"IAF"
"3632","Istithmar World Aviation",NA,"NKL"
"3633","Jambojet","JX*",NA
"3634","Janes Aviation",NA,"JAN"
"3635","JERSEY EUROPEAN T/A FLYBE",NA,"BEE"
"3636","Jet Budget",NA,"JTB"
"3637","Jet-Link",NA,"JLK"
"3638","Jet-Ops Europe",NA,"JOE"
"3639","Jet Ready",NA,"JRY"
"3640","Jet Team",NA,"PXJ"
"3641","Jetalliance South",NA,"JSO"
"3642","Jetbird Limited",NA,"JBD"
"3643","Jetcapital Aviation",NA,"ILM"
"3644","Jetnova",NA,"JNV"
"3645","Jinggog Globaljet",NA,"JGJ"
"3646","Aero JL",NA,"JLA"
"3647","JS Air",NA,"JSJ"
"3648","Jutland Jets Air Taxi",NA,"JUT"
"3649","Kabul Air",NA,"KBL"
"3650","Kaliningrad Air Enterprise",NA,"KLN"
"3651","Kapital Aviation",NA,"KPT"
"3652","Air KG",NA,"KGC"
"3653","Khabarovsk Airlines",NA,"KHF"
"3654","Kiwi Regional Airlines",NA,"KRL"
"3655","Air Klaipeda",NA,"KLD"
"3656","Korea Aerospace University",NA,"HGD"
"3657","Korea National University Of Transportation",NA,"KTU"
"3658","Kostroma Air Enterprise",NA,"KMW"
"3659","Kremenchuk Flight College",NA,"KFC"
"3660","Kudos Aviation",NA,"KUD"
"3661","Kyrgyz Air",NA,"KAF"
"3662","L J Aviation",NA,"LJY"
"3663","Laneas Aereas Trans Costa Rica",NA,"TCR"
"3664","LankAir","IL",NA
"3665","Laparkan Airways","LE",NA
"3666","Larry's Flying Service","J6",NA
"3667","Air Lazur",NA,"LZR"
"3668","Leader",NA,"LSA"
"3669","Legacy Airways",NA,"LGF"
"3670","Lequios Airlines",NA,"LQS"
"3671","Air Liaison",NA,"LSJ"
"3672","Life Line Aviation",NA,"LLK"
"3673","Linair",NA,"LIN"
"3674","Linea Aerea De Fung. Aguas Negras",NA,"NEG"
"3675","Lion Air Cargo","LE*",NA
"3676","Los Cedros Aviacion",NA,"LSC"
"3677","Luxaviation Germany",NA,"LXG"
"3678","Luxembourg Air Ambulance",NA,"LRQ"
"3679","Macau Jet International",NA,"MMJ"
"3680","Madina Air",NA,"MDH"
"3681","Maiba Airways",NA,"NDJ"
"3682","Mais Linhas Aereas",NA,"MLI"
"3683","Manunggal Air Service",NA,"MNS"
"3684","MAP Executive Flight Service",NA,"MPF"
"3685","MAP Management And Planning",NA,"MPJ"
"3686","Air Marine",NA,"MRY"
"3687","Markoss Aviation",NA,"MKO"
"3688","Mars Avia",NA,"MRS"
"3689","Mars RK",NA,"MRW"
"3690","Martin-Baker",NA,"MBE"
"3691","Martin Companies",NA,"MRC"
"3692","Maximum Flight Advantages",NA,"MXF"
"3693","McAlpine Helicopters",NA,"MCH"
"3694","MicroMatter Technology Solutions Ltd.",NA,"WIZ"
"3695","Midwest Air Link",NA,"MWL"
"3696","Minor Aviation",NA,"MIN"
"3697","Mitsubishi Aircraft Corporation",NA,"MAJ"
"3698","Montserrat Airways Limited Dba Fly Montserrat","5M",NA
"3699","Air Munich Aviation",NA,"MUC"
"3700","My Fair Jet",NA,"HTL"
"3701","Namdeb Diamond Corporation",NA,"DMD"
"3702","Nantucket Shuttle",NA,"NHA"
"3703","Nationale Regionale Transport",NA,"NRG"
"3704","Nauru Air Corporation Dba Nauru Airlines","ON",NA
"3705","Navitaire","1N",NA
"3706","NexGen Flight Solutions",NA,"XGN"
"3707","NHV Helicopters",NA,"NHZ"
"3708","NHV A/S",NA,"NHD"
"3709","Noafly Aviation",NA,"NFY"
"3710","Non Stop Aviation",NA,"CBZ"
"3711","Nor Aviation",NA,"ROW"
"3712","Nordicflite",NA,"NFE"
"3713","Norfolk Island Airlines",NA,"BNY"
"3714","Norse Air Charter",NA,"NRX"
"3715","Norsk Helikopterservice",NA,"NKH"
"3716","Northern Aviation",NA,"GPO"
"3717","Northern Executive Aviation",NA,"NEX"
"3718","Northern Skies Aviation",NA,"NSI"
"3719","Northumbria Helicopters",NA,"NHL"
"3720","Norwegian Air Ambulance",NA,"DOK"
"3721","Now Airlines",NA,"NWX"
"3722","OAS Helicopters",NA,"OHS"
"3723","Oasis Flight",NA,"OAS"
"3724","Olympic Broadcasting Services",NA,"OBC"
"3725","Air One Aviation","AO*",NA
"3726","ONE Aviation",NA,"EJT"
"3727","One Jet","J1",NA
"3728","OOO ""Atran ""","V8",NA
"3729","Open Flight",NA,"OFL"
"3730","Opera Jet",NA,"OPJ"
"3731","Orion Airways",NA,"FOH"
"3732","Oulun Tilauslento",NA,"FNL"
"3733","Pacific Flight Services",NA,"PFA"
"3734","Pakker Avio",NA,"PKR"
"3735","PAL Aerospace",NA,"SPR"
"3736","Palau National Airlines","4L","PNA"
"3737","Palio Air Service",NA,"PLS"
"3738","Patriot Aviation",NA,"BYT"
"3739","Pearl Air",NA,"PRL"
"3740","Pegase Aviation",NA,"PGV"
"3741","PHI",NA,"PHM"
"3742","Pilatus Flugzeugwerke",NA,"PCH"
"3743","Pilot Training College",NA,"PTC"
"3744","Air Pink",NA,"PNK"
"3745","Pirinair Express",NA,"PRN"
"3746","Polizeifliegerstaffel Nordrhein-Westfalen",NA,"NRW"
"3747","Polizeihubschrauberstaffel Bayern",NA,"EDL"
"3748","Pontair",NA,"PTA"
"3749","PremiAir Aviation Services",NA,"PGL"
"3750","Premier Flight Center",NA,"OZT"
"3751","PrivatAir Switzerland",NA,"PTI"
"3752","Propstar Aviation",NA,"PPR"
"3753","Puerto Rico Air Management Service Inc","2P*",NA
"3754","Puerto Rico Air Management Services",NA,"PRB"
"3755","Punto Azul","ZR",NA
"3756","Qingdao Jiutian-Spartan International Flight Academy",NA,"QJT"
"3757","Quick Airways Holland",NA,"QAH"
"3758","RAF St. Mawgan Search And Rescue",NA,"SMG"
"3759","Rainbow International Airlines",NA,"WES"
"3760","AG.raum",NA,"FAR"
"3761","Real Aeroclub De Gran Canaria",NA,"RGK"
"3762","Real Aeroclub De Tenerife",NA,"RCD"
"3763","Real Aero Club De Jerez",NA,"VCC"
"3764","Real Aero Club De Reus-Costa Dorada",NA,"CDT"
"3765","Rectimo Air Transports",NA,"RTO"
"3766","Red Barn Operations",NA,"RDN"
"3767","Redair Luftfahrt",NA,"AUV"
"3768","Rely",NA,"RTG"
"3769","Renan",NA,"RAN"
"3770","Reut Airways",NA,"RUT"
"3771","RG Aviation",NA,"RGV"
"3772","Rikspolisstyrelsen",NA,"POL"
"3773","Rose Air",NA,"REM"
"3774","Roy Ritter Sky Dive",NA,"ROY"
"3775","Royal Belau Airways",NA,"RBL"
"3776","Royal Oman Police",NA,"ROP"
"3777","Royal Skyways",NA,"RSW"
"3778","Royal Zambian Airlines",NA,"QZR"
"3779","RPS System",NA,"GBJ"
"3780","SADELCA Colombia - Sociedad Aerea Del Caqueta",NA,"SDK"
"3781","Salmon Air","S6",NA
"3782","Sapsan Air",NA,"MZA"
"3783","Saratov Airlines","6W",NA
"3784","Scenic Air",NA,"ENR"
"3785","Servant Air","8D*",NA
"3786","Servicio De Helicopteros",NA,"SDH"
"3787","Servicios Aereos Agricolas",NA,"SGI"
"3788","Servicios Aereos Especializados En Transportes Petroleros",NA,"KSP"
"3789","Servicios Aeroes Mira",NA,"MIR"
"3790","Servicios De Aviacion Asertec",NA,"ASE"
"3791","Shaanxi Phoenix International Flying College",NA,"PHF"
"3792","Shandong Airlines Rainbow Jet",NA,"RBW"
"3793","Sheltam Aviation",NA,"SHM"
"3794","Siam Airnet",NA,"RBR"
"3795","Siam Global Air",NA,"CAH"
"3796","SiamJet Airlines",NA,"SCJ"
"3797","Silvair",NA,"SAN"
"3798","Siren-Travel","1H",NA
"3799","Sky Eyes",NA,"SEQ"
"3800","Sky Helicopteros",NA,"HSY"
"3801","Sky Prime Malta",NA,"LXR"
"3802","Sky Services Aviation",NA,"SKT"
"3803","Sky Airlines",NA,"SHY"
"3804","Sky Unlimited",NA,"SYU"
"3805","Skybridge International Balkan",NA,"SBB"
"3806","SkyBus International Airlines",NA,"BYK"
"3807","Skyline",NA,"KCU"
"3808","Skylounge Services",NA,"TSM"
"3809","Skytaxi",NA,"STC"
"3810","Slate Falls Airways",NA,"SYJ"
"3811","Slovenian Armed Forces",NA,"SIV"
"3812","Smartlynx Airlines Cabo Verde",NA,"LCV"
"3813","SNCF","2C*",NA
"3814","Snunit Aviation",NA,"SNU"
"3815","Sol Linhas Aereas",NA,"SBA"
"3816","Solent Flight",NA,"SFU"
"3817","Solenta Aviation Gabon",NA,"SVG"
"3818","Solstas Lab",NA,"SPK"
"3819","SOS Helikoptern Gotland",NA,"MCG"
"3820","South Carolina Aviation Management",NA,"SFX"
"3821","South Pacific Airlines",NA,"SOU"
"3822","Southern Cross International",NA,"SXI"
"3823","Southern Jet",NA,"HNJ"
"3824","Southwings (Thailand)",NA,"SWL"
"3825","Sporavia",NA,"SPO"
"3826","St. Maarten Airways",NA,"SXM"
"3827","State Air Company Berkut",NA,"BEC"
"3828","State Flight Academy Of Ukraine, The",NA,"UFA"
"3829","Strait Air",NA,"NUK"
"3830","Sunjet Airlines",NA,"SUJ"
"3831","Sunrise Airlines",NA,"FXA"
"3832","Sunworld International Airlines",NA,"SWI"
"3833","Air SurEste",NA,"AIS"
"3834","Surveillance Australia",NA,"BDF"
"3835","Swiss Global",NA,"SWU"
"3836","Synesis Aviation",NA,"SYP"
"3837","Taespejo Portugal",NA,"TES"
"3838","Taftan Airlines",NA,"SBT"
"3839","AIR TAHITI NUI",NA,"THT"
"3840","AIR TAHITI",NA,"VTA"
"3841","Taxijet",NA,"LJT"
"3842","TFC Flugbetrieb Und - Technik Beratungsgellschaft MbH",NA,"EWF"
"3843","TFC Flugbetrieb Und - Technik Beratungsgesellschaft MbH",NA,"LTU"
"3844","Thai Summer Airways",NA,"AST"
"3845","Thomas Air",NA,"TME"
"3846","Top Air",NA,"TOP"
"3847","Air Tractor",NA,"AOU"
"3848","Air Traffic",NA,"ATJ"
"3849","TRANS AMERICAN AIRLINES S.A. - TRANS AM",NA,"TPU"
"3850","Trans Island Air",NA,"TRD"
"3851","Transaustralian Air Express",NA,"AUC"
"3852","Transaven Airlines",NA,"VEN"
"3853","TRANSAVIA FLUGBETRIEBSGESELLSCHAFT MBH, SPEYER",NA,"TAD"
"3854","Transport Automated Information Systems - TAIS","1M",NA
"3855","Transwings",NA,"TSW"
"3856","Transylvania International Airlines",NA,"TYC"
"3857","Travelsky Technology","1E",NA
"3858","Tretyakovo",NA,"TKO"
"3859","TRTO Agency",NA,"MGF"
"3860","Truman Aviation",NA,NA
"3861","Turku Air",NA,"TKI"
"3862","UK International Airlines",NA,"UKI"
"3863","Ukrainian Handling Company",NA,"UHC"
"3864","Unilode Aviation Solutions","C6*",NA
"3865","Unilode Aviation Solutions Switzerland","R7*",NA
"3866","Unilode Aviation Solutions","U9",NA
"3867","Universitetet I Tromso",NA,"UIT"
"3868","US Army Aeronautical Services Agency",NA,"USR"
"3869","USKY AIR",NA,"URI"
"3870","Valahia Air",NA,"VLH"
"3871","Valorfly",NA,"VLF"
"3872","Vanilla Air","JW",NA
"3873","Venid Air",NA,"DNE"
"3874","Air Via",NA,"VIM"
"3875","Videcom International","U1",NA
"3876","Vietstar Airlines",NA,"VSM"
"3877","Vintage Wings Of Canada",NA,"GHK"
"3878","Virgin Galactic",NA,"VGX"
"3879","Vision Flight Center",NA,"VFS"
"3880","Volaris Guatemala",NA,"VGU"
"3881","Voldirect",NA,"VDR"
"3882","Volkswagen AirService",NA,"BTX"
"3883","Vukani Aviation",NA,"VUK"
"3884","Air Walser",NA,"WLR"
"3885","Waters-Aero Marine",NA,"MID"
"3886","Weatherzone",NA,"WZA"
"3887","White River Air Services",NA,"WRA"
"3888","Windward Express Airways",NA,"WEA"
"3889","Windward Islands Airways Int'l N.V. Dba WINAIR","WM",NA
"3890","World Class Jets",NA,"SBE"
"3891","Xair Brno",NA,"XAE"
"3892","XJC Ltd.",NA,"XJC"
"3893","Yakutsk Airlines",NA,"KUT"
"3894","Yourways",NA,NA
"3895","Zapways","R1",NA
"3896","Zhejiang Wanfeng General Aviation",NA,"WHG"
"3897","Zimbabwe Cargo Airlines",NA,"ZWD"
"3898","Zimex Aviation Austria",NA,"AZD"
"3899","ZYB Lily Jet",NA,"MZT"
"3900","Diamond Aircraft UK Ltd.",NA,NA
"3901","Cotai Jet","8C*",NA
"3902","2 Sqn, No 1 Elementary Flying Training School",NA,"WYT"
"3903","Aero 1 Prop-Jet",NA,"SSM"
"3904","1 TIME AIRLINE (PTY) LTD",NA,"RNX"
"3905","Metro Express 11",NA,"MEX"
"3906","135 Airways",NA,"GNL"
"3907","ETI 2000",NA,"MJM"
"3908","Phoenix 2000 Airtaxi",NA,"PHX"
"3909","Sistemas Aeronauticos 2000",NA,"SUT"
"3910","Systec 2000",NA,"SYC"
"3911","AVB 2012",NA,"VBA"
"3912","Search And Rescue 202",NA,"SRG"
"3913","Air Net 21",NA,"DDD"
"3914","Volare 22 X",NA,"VLR"
"3915","247 JET LTD",NA,"TWF"
"3916","New Heights 291",NA,"NHT"
"3917","Societe 3 S Aviation (Aerope)",NA,"OPE"
"3918","USA 3000 AIRLINES (NEWTOWN SQUARE, PA)",NA,"GWY"
"3919","32 (TR) Squadron",NA,"NOH"
"3920","Agulhas 360",NA,"STE"
"3921","CARGO 360, INC. (SEATTLE, WA)",NA,"GGC"
"3922","3D AVIATION, INC. (HELENA, MT)",NA,"SEC"
"3923","Transaereo 5074",NA,"TEO"
"3924","Ramp 66",NA,"PPK"
"3925","USAC Airways 695",NA,"BLK"
"3926","84 Squadron RAF Akrotiri",NA,"AKG"
"3927","SCAMBESCO CC TRADING AS CLOUD 9 AIR CHARTERS",NA,"CLC"
"3928","The 955 Preservation Group",NA,"GFN"
"3929","Kobo-Coop - 96 KFT",NA,"KOB"
"3930","9G Rail",NA,NA
"3931","Ababeel Aviation",NA,"BBE"
"3932","Abakan Air",NA,"NKP"
"3933","ABAS",NA,"MRP"
"3934","Abavia",NA,"BVZ"
"3935","ABC AIR HUNGARY LTD",NA,"AHU"
"3936","ABS Avia",NA,"GPS"
"3937","Academia Romana De Aviatie",NA,"RFT"
"3938","Acme",NA,"AKM"
"3939","Act Two",NA,"WDW"
"3940","Action Airlines",NA,"AXQ"
"3941","Air Ada",NA,"RDM"
"3942","Addis Air Cargo Services",NA,"DSC"
"3943","Addis Airlines",NA,"DDS"
"3944","Adjaria",NA,"MNM"
"3945","Adler Aviation",NA,"SWH"
"3946","Administracion Aeronautica Internacional",NA,"AAO"
"3947","Administracion Profesional De Aeronaves",NA,"RPR"
"3948","ADRIA AIRWAYS",NA,"ADR"
"3949","Adro Servicios Aereos",NA,"DRO"
"3950","Advance Aviation Services",NA,"XTJ"
"3951","ADVENTIA",NA,"DVN"
"3952","Aerea Flying Training Organization",NA,"ADG"
"3953","Compania Aerea De Guinea Ecuatorial (COAGE)",NA,"COG"
"3954","Compania Aerea De Servicios Tur Air",NA,"TUU"
"3955","COMPANIA AEREA DEL SUR S.A. (AEROSUR S.A.)",NA,"ASU"
"3956","Aereosaba",NA,"ESB"
"3957","Aereotaxis",NA,"TXI"
"3958","Aereotcla",NA,"TLA"
"3959","AERFI GROUP PLC",NA,"AGP"
"3960","Aeriantur-M",NA,"MBV"
"3961","Aero Airline",NA,"ILK"
"3962","Aeroatlas",NA,"AQA"
"3963","Aerobanana",NA,"OBA"
"3964","AEROBILITY",NA,"DFA"
"3965","AEROBOLIVAR, C.A.",NA,"IVA"
"3966","Aerocenter, Escuela De Formacion De Pilotos Privados De Avion",NA,"ACR"
"3967","Aeroclip",NA,"RKP"
"3968","Aeroclub De Albacete",NA,"NVA"
"3969","Aeroclub Barcelona-Sabadell",NA,"BSO"
"3970","Aeroclub Esztergom",NA,"EGM"
"3971","Aeroclub De Vitoria",NA,"AVX"
"3972","Aerocombi",NA,"HSW"
"3973","Aerocorp",NA,"ORP"
"3974","Aerocorp",NA,"RCP"
"3975","Aerocorporativos",NA,"CTD"
"3976","Aerodinamica De Monterrey",NA,"DMC"
"3977","Aeroejecutiva Nieto",NA,"NIE"
"3978","Aeroeko",NA,"EKO"
"3979","Aeroel Airways",NA,"ROL"
"3980","Aeroferinco",NA,"FEO"
"3981","Aeroflight Academy Of Aviation",NA,"TVD"
"3982","Aerofly",NA,"RFY"
"3983","Aerogaucho",NA,"GAU"
"3984","Aerogisa",NA,"OGI"
"3985","Aerogroup",NA,"RWY"
"3986","AEROHELIX S. DE R.L. DE C.V.",NA,"AEX"
"3987","Aerojet De Costa Rica",NA,"ARJ"
"3988","Aerolab",NA,"ERL"
"3989","AEROLAGUNA, S.A. DE C.V.",NA,"LGN"
"3990","Aerolift",NA,"LFT"
"3991","Aerolima",NA,"LMA"
"3992","AEROLIMOUSINE LTD",NA,"LIN"
"3993","Aerolinea Aviasur",NA,"VSU"
"3994","AEROLINEA PRINCIPAL CHILE S.A.",NA,"PCP"
"3995","Aerolineas Amanecer",NA,"MNE"
"3996","Aerolineas Andinas",NA,"NDN"
"3997","Aerolineas Bonanza",NA,"BZA"
"3998","Aerolineas Del Centro",NA,"RDC"
"3999","Aerolineas Chihuahua Al Pacifico",NA,"PFI"
"4000","Aerolineas Comerciales",NA,"ECM"
"4001","AEROLINEAS DAMOJH, S.A. DE C.V.",NA,"DMJ"
"4002","Aerolineas Del Golfo",NA,"DLG"
"4003","Aerolineas Hidalgo",NA,"AHL"
"4004","Aerolineas Jet Global",NA,"JGB"
"4005","Aerolineas Latinas",NA,"LTN"
"4006","Aerolineas Marcos",NA,"MCO"
"4007","Aerolineas Del Mayab",NA,"MYB"
"4008","Aerolineas Mexicanas J.S.",NA,"LMX"
"4009","AEROLINEAS DE MORELIA, S.A. DE C.V.",NA,"MOR"
"4010","Aerolineas Nacionales Albatros",NA,"BTS"
"4011","AEROLINEAS PRIMORDIALES, S A DE C.V.",NA,"APR"
"4012","Aerolineas Sol",NA,"SOD"
"4013","Aerolineas Del Sureste",NA,"SUE"
"4014","Aerolineas De Tehuacan",NA,"HUC"
"4015","Aerolineas Turisticas Del Caribe",NA,"TTB"
"4016","AEROLINEAS URUGUAYAS S.A.",NA,"AUY"
"4017","Aeromaan",NA,"ERM"
"4018","Aeromagar",NA,"MGS"
"4019","Aeromanage",NA,"AGE"
"4020","AEROMANAGEMENT GROUP",NA,"GZR"
"4021","AEROMAX, S.L.",NA,"AXP"
"4022","Aeromedica",NA,"DIC"
"4023","Aeromexhaga",NA,"AXH"
"4024","Aeromonky",NA,"NKY"
"4025","Aeromover",NA,"OVE"
"4026","Aeromundo Ejecutivo",NA,"MUN"
"4027","Aeron International Airlines",NA,"AXI"
"4028","Aeronautica Castellana",NA,"ECL"
"4029","Aeronautica La Esperanza",NA,"ESZ"
"4030","Aeronautical Academy Of Europe",NA,"EVR"
"4031","Aeronautical Radio Of Thailand",NA,"AET"
"4032","Aeronaves Ejecutivas GSF",NA,"GSF"
"4033","Aeronaves Hafe",NA,"ARS"
"4034","Aeronavigaciya",NA,"KTN"
"4035","Aeronem, Air Cargo",NA,"RNM"
"4036","Aeronor",NA,"GCF"
"4037","Aeronord-Grup",NA,"NRP"
